type,wavelen,m_Rrs,sd_Rrs,lo_Rrs,up_Rrs,m_nRrs,sd_nRrs,lo_nRrs,up_nRrs
2,610,0.000316029532000001,0.0002667517603450086,0.0001070295,0.0008278049999999993,0.0005072628755682843,0.00016773216350007708,0.00023208317003605116,0.0007805796449054581
2,612,0.0003141099540000002,0.00026598345000318545,0.00010547,0.0008242935,0.0005035155630480068,0.00016732921202254424,0.00022955711817949402,0.0007767947222578299
2,614,0.00031128421400000006,0.000264429577411648,0.0001037295,0.0008192794999999995,0.0004983384403041483,0.00016646899919091883,0.00022604606381947134,0.00077122219002633
2,616,0.00030916786800000033,0.0002634805434655364,0.000102278,0.0008149824999999988,0.0004943158430604269,0.00016601967859506713,0.00022314685885433365,0.000767591142484367
2,618,0.0003063762509999993,0.00026194969611349983,0.00010055,0.0008098314999999981,0.0004892279605450916,0.00016523806065506708,0.00021946411692753425,0.0007617544248507146
2,620,0.0003026153529999996,0.0002595341804755498,9.8569e-05,0.0008016944999999999,0.0004826202663117862,0.00016389790639632963,0.00021563846735906243,0.0007536376988791242
2,622,0.0002988220340000003,0.0002570645933308643,9.656e-05,0.0007947974999999996,0.00047597750136471346,0.0001625234685862522,0.00021167467291897376,0.0007455423064816137
2,624,0.000294899398,0.00025446108765447346,9.45495e-05,0.0007870989999999998,0.0004691458181174327,0.00016107209412573068,0.00020796020711678947,0.0007368081894949189
2,626,0.00029098305400000014,0.00025183492492164957,9.25295e-05,0.000777383,0.0004623459377221848,0.0001596169443076322,0.0002036921368500906,0.0007279739578910416
2,628,0.0002873543640000011,0.0002494410181799607,9.06585e-05,0.0007698694999999997,0.00045602428178059123,0.00015832771246413897,0.00019963392700863872,0.0007204341180405059
2,630,0.00028357079500000026,0.00024689434413347215,8.873799999999999e-05,0.000762321,0.0004494837320431304,0.00015696918822986257,0.00019600304501112134,0.0007125358087346184
2,632,0.00027944557299999957,0.00024403212567162503,8.675950000000001e-05,0.0007524094999999993,0.000442427654416644,0.00015543003413111465,0.000192108602361481,0.0007039877888306414
2,634,0.00027538210600000203,0.00024119466012116606,8.48485e-05,0.000743174,0.00043549181014665515,0.0001539116199858139,0.00018845635047844822,0.0006951067613946513
2,636,0.0002712307999999984,0.00023824920386385307,8.2958e-05,0.0007348244999999998,0.0004284397148376411,0.00015233053248531517,0.00018472114326544437,0.0006867163886358673
2,638,0.00026696533200000087,0.0002351728445536807,8.104950000000001e-05,0.000725814,0.00042122895081392206,0.00015066694932168223,0.00018058115375681194,0.000676808657583943
2,640,0.0002623928640000004,0.00023179268512426668,7.912e-05,0.0007152084999999999,0.00041356101479504963,0.0001488134095489766,0.0001767095290634118,0.0006659516236107828
2,642,0.00025755785899999895,0.00022815855936818616,7.71e-05,0.0007039755,0.00040550550635262743,0.00014680750287672558,0.00017231436576006326,0.0006552731599828598
2,644,0.00025260436499999824,0.00022439469749955466,7.509e-05,0.0006924129999999998,0.00039728486921377504,0.00014471112497580456,0.00016794881936201632,0.0006441974507409942
2,646,0.0002469677950000003,0.0002199813366693822,7.2909e-05,0.0006788235,0.00038801230470189075,0.00014218297187919388,0.0001632329834785057,0.0006314878610800297
